sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
22657,529,836,713,1143,1913,2109,2422,2339,1619,1025,Roshan
22658,610,913,929,1240,1661,1834,1964,1877,1613,1161,Roshan
22659,645,918,912,1256,1719,1779,2024,1874,1639,1172,Roshan
22660,499,800,692,1143,1913,2109,2316,2339,1619,1025,Roshan
22661,600,905,944,1264,1683,1784,2024,1868,1654,1154,Roshan
22662,572,883,792,1238,1719,1890,1816,2015,1729,1234,Roshan
22663,590,877,854,1258,1814,1944,2302,2040,1624,1142,Roshan
22664,607,875,858,1258,1814,1944,1794,2040,1624,1142,Roshan
22665,630,895,910,1281,1552,1672,1754,1711,1579,1200,Roshan
22666,618,926,894,1281,1552,1672,1732,1711,1579,1200,Roshan
22667,610,891,889,1293,1691,1840,1756,1885,1643,1164,Roshan
22668,600,818,809,1151,1501,1605,1720,1703,1486,1131,Roshan
22669,582,879,879,1251,1637,1806,1766,1882,1701,1191,Roshan
22670,472,767,692,1149,1717,1933,1918,1874,1507,1017,Roshan
22671,621,874,915,1293,1691,1840,1872,1885,1643,1164,Roshan
22672,592,866,896,1200,1584,1740,1758,1757,1560,1160,Roshan
22673,460,770,633,1143,1913,2109,2394,2339,1619,1025,Roshan
22674,596,911,902,1293,1691,1840,2206,1885,1643,1164,Roshan
22675,579,889,898,1253,1581,1610,1762,1634,1549,1153,Roshan
22676,515,816,769,1220,1870,1948,2288,2122,1604,1099,Roshan
22677,650,886,895,1253,1581,1610,1700,1634,1549,1153,Roshan
22678,610,891,889,1293,1691,1840,1756,1885,1643,1164,Roshan
22679,595,903,893,1414,1776,1960,1986,2042,1874,1434,Roshan
22680,584,859,852,1251,1637,1806,1714,1882,1701,1191,Roshan
22681,823,1068,1062,1342,2333,2687,2750,2803,1674,1233,Roshan
22682,698,940,827,1223,2422,2880,3200,2897,1547,1103,Roshan
22683,832,1021,1048,1295,2233,2698,2676,2779,1582,1094,Roshan
22684,661,883,735,1098,2539,3158,3322,3275,1438,942,Roshan
22685,740,954,879,1399,2432,2886,3536,2810,1770,1482,Roshan
22686,698,940,827,1223,2422,2880,3200,2897,1547,1103,Roshan
22687,642,844,717,1098,2539,3158,3496,3275,1438,942,Roshan
22688,653,878,802,1149,2208,2637,3538,2829,1529,1199,Roshan
22689,741,966,971,1409,2271,2702,3266,2775,1718,1437,Roshan
22690,778,1082,1058,1453,2382,2726,3134,2789,1843,1544,Roshan
22691,636,836,725,1061,2553,3186,3494,3186,1409,944,Roshan
22692,756,964,974,1395,2312,2674,3260,2697,1784,1509,Roshan
22693,615,870,710,1061,2553,3186,3304,3186,1409,944,Roshan
22694,1076,1406,1576,1679,2176,2417,2514,2518,2051,1847,Roshan
22695,731,972,908,1390,2268,2613,3196,2779,1801,1490,Roshan
22696,670,902,785,1254,2492,2974,3318,3049,1577,1129,Roshan
22697,659,890,721,1128,2772,3437,3830,3551,1495,967,Roshan
22698,755,946,908,1286,2379,2754,3464,3027,1661,1194,Roshan
22699,711,946,818,1250,2497,3030,3526,3024,1586,1104,Roshan
22700,955,1192,1322,1395,2312,2674,2520,2697,1784,1509,Roshan
22701,985,1204,1288,1399,2432,2886,2676,2810,1770,1482,Roshan
22702,617,844,745,1149,2560,3141,3438,3096,1530,1092,Roshan
22703,622,873,727,1066,2569,3138,3450,3213,1442,970,Roshan
22704,667,858,725,1098,2539,3158,3438,3275,1438,942,Roshan
22705,823,1050,1026,1286,2379,2754,2808,3027,1661,1194,Roshan
22706,745,970,863,1361,2079,2354,3372,2429,1747,1504,Roshan
22707,741,1032,913,1254,2492,2974,3200,3049,1577,1129,Roshan
22708,820,1080,1090,1344,2240,2486,2522,2497,1611,1188,Roshan
22709,725,982,826,1305,2417,2879,3492,3064,1690,1273,Roshan
22710,692,871,753,1119,2715,3369,3782,3451,1538,1013,Roshan
22711,697,948,897,1335,2410,2715,3528,2837,1724,1485,Roshan
22712,753,938,870,1305,2417,2879,3506,3064,1690,1273,Roshan
22713,708,913,863,1368,2198,2522,3054,2604,1819,1528,Roshan
22714,643,886,749,1119,2715,3369,3864,3451,1538,1013,Roshan
22715,731,972,908,1390,2268,2613,3196,2779,1801,1490,Roshan
22716,710,985,928,1399,2432,2886,3516,2810,1770,1482,Roshan
22717,604,858,725,1098,2539,3158,3366,3275,1438,942,Roshan
22718,617,844,745,1149,2560,3141,3438,3096,1530,1092,Roshan
22719,631,883,731,1099,2750,3544,3816,3563,1529,1024,Roshan
22720,800,1052,1021,1286,2379,2754,2776,3027,1661,1194,Roshan
22721,693,918,795,1250,2497,3030,3642,3024,1586,1104,Roshan
22722,656,885,730,1061,2553,3186,3278,3186,1409,944,Roshan
22723,679,861,739,1148,2724,3529,3820,3596,1556,1021,Roshan
22724,728,968,876,1286,2379,2754,3488,3027,1661,1194,Roshan
22725,670,902,785,1254,2492,2974,3318,3049,1577,1129,Roshan
22726,728,968,876,1286,2379,2754,3488,3027,1661,1194,Roshan
22727,593,829,703,1066,2569,3138,3480,3213,1442,970,Roshan
22728,758,1052,1001,1268,2584,3187,3006,3211,1623,1107,Roshan
22729,984,1226,1382,1431,2254,2684,2476,2687,1729,1425,Roshan
22730,631,883,731,1099,2750,3544,3816,3563,1529,1024,Roshan
22731,622,873,727,1066,2569,3138,3450,3213,1442,970,Roshan
22732,659,896,737,1128,2772,3437,3748,3551,1495,967,Roshan
22733,756,964,974,1395,2312,2674,3260,2697,1784,1509,Roshan
